Running "size_report:before" (size_report) task

~~~~~~~~~~~
Size report
~~~~~~~~~~~

Filename                                                                                                Size          %
-----------------------------------------------------------------------------------------------------------------------
3.9custom/dojo/dojo.js                                                                                 1.1 MiB     9.1%
3.9custom/esri/dijit/images/infowindow.psd                                                           405.5 KiB     3.2%
3.9custom/dojox/storage/storage_dialog.fla                                                           336.0 KiB     2.6%
3.9custom/dojox/geo/charting/resources/data/WorldCountries.json                                      184.3 KiB     1.4%
3.9custom/dojox/geo/charting/resources/data/WorldCountriesMercator.json                              179.4 KiB     1.4%
3.9custom/build-report.txt                                                                           151.9 KiB     1.2%
3.9custom/dojox/mobile/themes/windows/windows.css                                                    150.4 KiB     1.2%
3.9custom/esri/css/esri.css                                                                          150.0 KiB     1.2%
3.9custom/dojox/mobile/themes/iphone/iphone-app.css                                                  141.1 KiB     1.1%
3.9custom/dojox/mobile/themes/iphone/iphone.css                                                      135.4 KiB     1.1%
3.9custom/dijit/themes/claro/claro.css                                                               133.6 KiB     1.0%
3.9custom/dojox/mobile/themes/android/android-app.css                                                132.2 KiB     1.0%
3.9custom/dojox/mobile/themes/android/android.css                                                    126.4 KiB     1.0%
3.9custom/dojox/mobile/themes/blackberry/blackberry.css                                              124.8 KiB     1.0%
3.9custom/dojox/mobile/themes/holodark/holodark.css                                                  124.5 KiB     1.0%
3.9custom/dojox/mobile/themes/custom/custom.css                                                      124.3 KiB     1.0%
3.9custom/dojo/nls/dojo_th.js                                                                        114.9 KiB     0.9%
3.9custom/dojox/geo/charting/resources/data/Americas.json                                            105.3 KiB     0.8%
3.9custom/esri/dijit/images/scope.png                                                                102.2 KiB     0.8%
3.9custom/dojox/grid/compatGrid.tar.gz                                                                98.9 KiB     0.8%
3.9custom/dojo/nls/dojo_ru.js                                                                         96.3 KiB     0.8%
3.9custom/dojo/nls/dojo_ar.js                                                                         83.5 KiB     0.7%
3.9custom/esri/css/widgets-2.css                                                                      82.6 KiB     0.6%
3.9custom/dojox/geo/charting/resources/data/EuropeMiddleEastAfrica.json                               78.9 KiB     0.6%
3.9custom/dijit/themes/tundra/tundra.css                                                              77.6 KiB     0.6%
3.9custom/dojo/nls/dojo_he-il.js                                                                      77.3 KiB     0.6%
3.9custom/dojo/nls/dojo_ja-jp.js                                                                      76.7 KiB     0.6%
3.9custom/dijit/themes/nihilo/nihilo.css                                                              76.6 KiB     0.6%
3.9custom/dijit/themes/soria/soria.css                                                                75.0 KiB     0.6%
3.9custom/dojo/nls/dojo_fr-fr.js                                                                      72.7 KiB     0.6%
3.9custom/dojo/nls/dojo_ro.js                                                                         71.2 KiB     0.6%
3.9custom/dojo/nls/dojo_pl.js                                                                         70.6 KiB     0.6%
3.9custom/dojo/nls/dojo_ko-kr.js                                                                      70.1 KiB     0.5%
3.9custom/dojo/nls/dojo_de-de.js                                                                      69.8 KiB     0.5%
3.9custom/dojo/nls/dojo_es-es.js                                                                      69.8 KiB     0.5%
3.9custom/dojo/nls/dojo_pt-pt.js                                                                      69.5 KiB     0.5%
3.9custom/dojo/nls/dojo_tr.js                                                                         68.6 KiB     0.5%
3.9custom/dojo/nls/dojo_pt-br.js                                                                      68.6 KiB     0.5%
3.9custom/dojo/nls/dojo_it-it.js                                                                      68.3 KiB     0.5%
3.9custom/dojo/nls/dojo_cs.js                                                                         68.1 KiB     0.5%
3.9custom/dojo/nls/dojo_nl-nl.js                                                                      67.4 KiB     0.5%
3.9custom/dojo/nls/dojo_fi-fi.js                                                                      67.1 KiB     0.5%
3.9custom/dojo/nls/dojo_sv.js                                                                         65.2 KiB     0.5%
3.9custom/dojo/nls/dojo_da.js                                                                         64.5 KiB     0.5%
3.9custom/dojo/nls/dojo_nb.js                                                                         64.3 KiB     0.5%
3.9custom/dojo/nls/dojo_el.js                                                                         63.7 KiB     0.5%
3.9custom/dojo/nls/dojo_ca.js                                                                         62.8 KiB     0.5%
3.9custom/dojox/gfx/resources/Gillius.svg                                                             62.8 KiB     0.5%
3.9custom/dojo/nls/dojo_hu.js                                                                         62.7 KiB     0.5%
3.9custom/dojo/nls/dojo_sk.js                                                                         62.7 KiB     0.5%
3.9custom/dojo/nls/dojo_sl.js                                                                         62.6 KiB     0.5%
3.9custom/dojo/nls/dojo_en-gb.js                                                                      62.6 KiB     0.5%
